date,product,region,units,revenue
2026-08-01,Salad,West,3,16.35
2026-08-01,Latte,East,4,34.48
2026-08-01,Salad,Central,10,31.20
2026-08-01,Muffin,North,8,66.16
2026-08-01,Smoothie,North,11,33.88
2026-08-01,Muffin,North,6,40.50
2026-08-01,Sandwich,Central,10,73.20
2026-08-01,Latte,South,6,14.22
2026-08-01,Espresso,North,2,12.50
2026-08-01,Sandwich,Central,4,15.88
2026-08-01,Smoothie,East,11,43.12
2026-08-01,Smoothie,South,1,6.84
2026-08-01,Muffin,West,10,72.50
2026-08-01,Muffin,West,6,15.72
2026-08-01,Smoothie,West,10,83.80
2026-08-01,Espresso,Central,2,9.12
2026-08-01,Salad,North,11,67.54
2026-08-01,Sandwich,West,8,51.36
2026-08-01,Latte,South,5,49.50
2026-08-01,Espresso,South,8,23.68
2026-08-01,Espresso,Central,9,48.42
2026-08-01,Salad,North,6,32.46
2026-08-01,Latte,East,11,61.93
2026-08-01,Salad,West,4,11.80
2026-08-01,Muffin,East,2,5.48
2026-08-01,Muffin,South,9,71.91
2026-08-01,Cappuccino,East,11,93.39
2026-08-01,Smoothie,West,11,48.40
2026-08-01,Salad,West,9,62.73
2026-08-01,Cappuccino,East,3,11.49
2026-08-01,Latte,South,9,72.54
2026-08-01,Croissant,South,4,12.08
2026-08-01,Espresso,West,2,12.48
2026-08-01,Muffin,North,7,41.51
2026-08-01,Smoothie,West,9,74.88
2026-08-01,Latte,West,1,3.64
2026-08-01,Salad,West,6,38.16
2026-08-01,Cappuccino,Central,4,13.32
2026-08-01,Salad,North,9,18.72
2026-08-01,Smoothie,Central,7,36.33
2026-08-01,Croissant,South,5,12.80
2026-08-01,Espresso,South,3,14.28
2026-08-01,Smoothie,East,2,16.70
2026-08-01,Croissant,East,4,28.00
2026-08-01,Sandwich,West,7,40.18
2026-08-01,Smoothie,Central,4,29.64
2026-08-01,Salad,East,2,6.52
2026-08-01,Croissant,East,8,48.40
2026-08-01,Cappuccino,North,9,21.15
2026-08-01,Croissant,North,9,72.54
2026-08-01,Muffin,East,5,29.75
2026-08-01,Muffin,North,4,37.28
2026-08-01,Croissant,North,7,26.53
2026-08-01,Croissant,West,8,29.60
2026-08-01,Latte,North,1,5.58
2026-08-01,Muffin,East,6,37.98
2026-08-01,Sandwich,South,4,23.44
2026-08-01,Salad,Central,4,22.56
2026-08-01,Cappuccino,Central,11,71.61
2026-08-01,Sandwich,South,1,5.98
2026-08-01,Espresso,East,7,51.03
2026-08-01,Sandwich,West,2,8.92
2026-08-01,Smoothie,South,7,43.89
2026-08-01,Sandwich,Central,6,32.10
2026-08-01,Latte,Central,11,23.54
2026-08-01,Salad,North,3,12.84
2026-08-01,Latte,North,6,38.88
2026-08-01,Sandwich,East,10,71.40
2026-08-01,Croissant,Central,9,89.73
2026-08-01,Croissant,North,6,15.72
2026-08-01,Salad,Central,9,20.88
2026-08-01,Cappuccino,East,6,32.40
2026-08-01,Smoothie,North,11,61.38
2026-08-01,Smoothie,South,4,36.40
2026-08-01,Espresso,East,10,93.80
2026-08-01,Sandwich,Central,2,13.78
2026-08-01,Muffin,East,10,47.80
2026-08-01,Cappuccino,Central,11,90.09
2026-08-01,Espresso,South,6,16.44
2026-08-01,Muffin,North,6,59.28
2026-08-01,Latte,East,3,19.38
2026-08-01,Latte,Central,8,56.56
2026-08-01,Espresso,East,1,3.56
2026-08-01,Salad,North,1,9.66
2026-08-01,Smoothie,North,4,35.08
2026-08-01,Sandwich,North,10,84.40
2026-08-01,Muffin,South,1,2.67
2026-08-01,Salad,Central,10,79.20
2026-08-01,Cappuccino,West,4,39.92
2026-08-01,Latte,South,5,21.75
2026-08-01,Croissant,West,2,15.30
2026-08-01,Salad,East,9,73.35
2026-08-01,Smoothie,West,3,27.48
2026-08-01,Latte,East,1,5.08
2026-08-01,Cappuccino,West,11,24.42
2026-08-01,Espresso,South,2,19.34
2026-08-01,Latte,North,5,15.35
2026-08-01,Sandwich,North,8,32.56
2026-08-01,Espresso,North,8,63.44
2026-08-01,Croissant,South,4,36.68
2026-08-01,Espresso,Central,4,38.84
2026-08-01,Salad,Central,10,25.50
2026-08-01,Sandwich,East,9,81.45
2026-08-01,Espresso,North,11,71.83
2026-08-01,Cappuccino,West,8,29.68
2026-08-01,Smoothie,Central,6,48.18
2026-08-01,Espresso,South,2,18.34
2026-08-01,Espresso,North,4,9.52
2026-08-01,Cappuccino,North,8,18.48
2026-08-01,Croissant,South,11,28.82
2026-08-01,Latte,West,4,16.80
2026-08-01,Espresso,North,7,31.85
2026-08-01,Croissant,North,7,63.91
2026-08-01,Salad,East,7,56.28
2026-08-01,Salad,Central,1,2.68
2026-08-01,Sandwich,West,1,6.58
2026-08-01,Salad,Central,9,66.60
2026-08-01,Cappuccino,West,3,29.22
2026-08-01,Cappuccino,South,9,85.05
2026-08-01,Croissant,Central,6,18.90
2026-08-01,Sandwich,East,10,95.70
2026-08-01,Croissant,Central,7,15.61
2026-08-01,Espresso,Central,3,25.59
2026-08-01,Cappuccino,West,4,25.04
2026-08-01,Espresso,Central,7,40.60
2026-08-01,Salad,West,7,23.73
2026-08-01,Cappuccino,West,8,71.04
2026-08-01,Espresso,Central,5,31.45
2026-08-01,Espresso,North,8,74.56
2026-08-01,Latte,West,11,40.04
2026-08-01,Sandwich,East,3,27.09
2026-08-01,Cappuccino,South,10,53.70
2026-08-01,Muffin,North,7,49.77
2026-08-01,Cappuccino,West,2,12.20
2026-08-01,Salad,West,1,9.92
2026-08-01,Croissant,West,8,65.12
2026-08-01,Latte,South,9,31.41
2026-08-01,Salad,East,5,19.80
2026-08-01,Sandwich,West,4,16.84
2026-08-01,Salad,South,6,34.20
2026-08-01,Espresso,West,7,20.65
2026-08-01,Salad,North,11,107.47
2026-08-01,Espresso,Central,7,39.90
2026-08-01,Espresso,East,5,28.05
2026-08-01,Muffin,West,5,47.40
